Epoch 10: train RMSE 1.8502, test RMSE 1.8492
Epoch 20: train RMSE 1.8485, test RMSE 1.8477
Epoch 30: train RMSE 1.8462, test RMSE 1.8465
Epoch 40: train RMSE 1.8451, test RMSE 1.8456
Epoch 50: train RMSE 1.8438, test RMSE 1.8429
Epoch 60: train RMSE 1.8428, test RMSE 1.8425
Epoch 70: train RMSE 1.8403, test RMSE 1.8405
Epoch 80: train RMSE 1.8448, test RMSE 1.8445
Epoch 90: train RMSE 1.8412, test RMSE 1.8423
Epoch 100: train RMSE 1.8405, test RMSE 1.8407
Epoch 110: train RMSE 1.8404, test RMSE 1.8407
Epoch 120: train RMSE 1.8408, test RMSE 1.8414
Epoch 130: train RMSE 1.8401, test RMSE 1.8402
Epoch 140: train RMSE 1.8409, test RMSE 1.8407
Epoch 150: train RMSE 1.8400, test RMSE 1.8404
Epoch 160: train RMSE 1.8398, test RMSE 1.8402
Epoch 170: train RMSE 1.8458, test RMSE 1.8450
Epoch 180: train RMSE 1.8422, test RMSE 1.8433
Epoch 190: train RMSE 1.8402, test RMSE 1.8407
Epoch 200: train RMSE 1.8401, test RMSE 1.8405
Epoch 210: train RMSE 1.8397, test RMSE 1.8405
Epoch 220: train RMSE 1.8397, test RMSE 1.8405
Epoch 230: train RMSE 1.8398, test RMSE 1.8401
Epoch 240: train RMSE 1.8397, test RMSE 1.8400
Epoch 250: train RMSE 1.8396, test RMSE 1.8400
Epoch 260: train RMSE 1.8397, test RMSE 1.8402
Epoch 270: train RMSE 1.8395, test RMSE 1.8399
Epoch 280: train RMSE 1.8391, test RMSE 1.8406
Epoch 290: train RMSE 1.8392, test RMSE 1.8399
Epoch 300: train RMSE 1.8432, test RMSE 1.8429
Epoch 310: train RMSE 1.8401, test RMSE 1.8403
Epoch 320: train RMSE 1.8424, test RMSE 1.8424
Epoch 330: train RMSE 1.8403, test RMSE 1.8409
Epoch 340: train RMSE 1.8406, test RMSE 1.8408
Epoch 350: train RMSE 1.8398, test RMSE 1.8406
Epoch 360: train RMSE 1.8394, test RMSE 1.8410
Epoch 370: train RMSE 1.8395, test RMSE 1.8405
Epoch 380: train RMSE 1.8398, test RMSE 1.8406
Epoch 390: train RMSE 1.8401, test RMSE 1.8406
Epoch 400: train RMSE 1.8397, test RMSE 1.8400
Epoch 410: train RMSE 1.8393, test RMSE 1.8399
Epoch 420: train RMSE 1.8405, test RMSE 1.8443
Epoch 430: train RMSE 1.8392, test RMSE 1.8420
Epoch 440: train RMSE 1.8394, test RMSE 1.8402
Epoch 450: train RMSE 1.8390, test RMSE 1.8409
Epoch 460: train RMSE 1.8391, test RMSE 1.8405
Epoch 470: train RMSE 1.8390, test RMSE 1.8414
Epoch 480: train RMSE 1.8392, test RMSE 1.8402
Epoch 490: train RMSE 1.8390, test RMSE 1.8409
Epoch 500: train RMSE 1.8391, test RMSE 1.8405
Epoch 510: train RMSE 1.8389, test RMSE 1.8405
Epoch 520: train RMSE 1.8388, test RMSE 1.8411
Epoch 530: train RMSE 1.8389, test RMSE 1.8416
Epoch 540: train RMSE 1.8389, test RMSE 1.8413
Epoch 550: train RMSE 1.8391, test RMSE 1.8405
Epoch 560: train RMSE 1.8413, test RMSE 1.8435
